state,total_cost13,num_claims13,total_cost14,num_claims14,total_cost15,num_claims15
CA,7934553469.039816,110511593,9313385909.810144,112628765,10495850802.109476,113723923
NY,6248139310.22986,74598906,7264684092.400281,77044918,8160850101.519736,78352623
FL,5708989541.270072,85122163,6687281561.649779,87638058,7520210363.229776,89553574
TX,5352977553.6596,71858372,6269270642.570091,73761814,6936390842.17,75493993
PA,4121740845.7801504,60374585,4728388130.430076,61585802,5266247433.530198,62442308
OH,3538522718.689978,51080559,3968861760.2799454,52493988,4383535302.559931,53832353
NC,2864514341.319938,43425515,3275216041.93005,44856945,3663372653.5000772,45316563
MI,2717111770.8299966,36780044,3102580580.0200715,38511782,3586728187.609927,39982591
NJ,2550130052.3899255,27769988,2899580521.9399395,28374584,3149758206.7698607,29178035
IL,2512310092.7799797,38681041,3048798201.819937,41547775,3371223121.5200067,42861547
GA,2323878935.450006,35715096,2724012768.0400167,38195496,3102202849.86994,39918336
TN,2095530451.970054,33990995,2406905355.870088,34891610,2692302652.210039,35669548
IN,1853150510.4599438,26417806,2106385114.4699864,27241760,2318540358.37991,28008991
MO,1848888285.8100605,29157244,2219703963.480037,30545063,2381152024.819983,31400859
MA,1600196585.4799905,24305308,1929861491.55001,25276556,2222803398.3199387,25927211
VA,1558779796.0699854,23958162,1797485910.9299917,24911487,2010992147.52997,25613323
AL,1550224683.1200223,26133189,1743371791.3699868,25779777,1944510756.5899854,25765649
KY,1544749407.9800048,25056774,1712625347.4300334,25775655,1837560492.270015,26451422
LA,1362590158.7499774,21331271,1541034659.9000187,21920148,1769979415.359975,22637998
WI,1351421548.6099758,20552820,1556068289.789983,20983389,1710748387.0599647,21306641
SC,1222794886.7299645,18068570,1591339741.3399918,21383435,1789889231.2800004,22025216
AZ,1209255512.5299835,18095792,1493739092.0100071,19272072,1723812613.5900018,20002344
WA,1132986108.559985,18233059,1334913421.5100265,18622450,1539909547.2600064,19109732
MN,1082244577.560001,16800438,1243199263.9300063,16992259,1380775823.7599604,17344307
CT,1020778123.840007,12146265,1171692470.8200016,12442042,1372196315.2399728,13052880
MD,960430690.6099739,12087737,1243845582.14998,13399618,1497781308.6600015,14249231
OK,951869590.9499941,14401558,1078765779.1299973,14673787,1166599669.0600097,14845005
MS,841856292.72001,15117178,952525506.6299969,15448987,1048221248.6000087,15894792
AR,807285084.2699841,14856330,907418760.5400033,15330963,975192478.5899918,15768762
OR,778978223.1299969,13203292,914471141.3900056,13552501,1060647122.599987,13781982
CO,765488871.0800054,11529594,968907510.0399846,12598163,1149487501.849984,13117160
IA,754241101.260004,14360452,834368348.1500062,14370786,921435958.9099793,14577313
PR,747264739.4000032,20205659,860973030.1400003,21625186,955882726.3400099,22399509
KS,696358412.3399951,11637186,796566185.0499976,11816007,859483010.1699923,12079382
WV,680679747.0200046,10715617,754237301.4800158,10933733,815409153.9799857,11210450
NE,441127743.9099952,7636693,504238631.7100065,7829252,548476646.6900005,7973328
NV,431854692.95999056,6973220,514654629.29999506,7251300,623008359.5999905,7592095
ME,385598186.61000365,5442105,432798455.459995,5557785,481991204.25001,5515434
UT,373566213.5299948,5553690,435336558.1799991,5719272,498780524.42999625,6139837
NM,339054401.9900024,5474800,389689194.1800017,5550725,446229295.0500036,5804973
RI,296847183.6199983,5310960,335171532.9299977,5380670,362641915.2100007,5321752
ID,293912302.46000004,4707784,335787742.34000176,4778516,389253786.8999997,5040818
HI,284194183.16000205,3763452,330220360.5999998,3639871,340872010.6700015,3426919
DE,269952454.7199963,2869301,301153395.7299973,2945226,339154819.0600014,3071632
NH,269063849.8800011,3750177,314202730.87999845,4002831,366068838.70000285,4361584
SD,203383925.95999986,3454803,230790551.19999808,3477253,257686972.75999922,3519553
MT,201946514.9500012,3277667,232631628.82000133,3268674,257381830.74000245,3286249
ND,174837521.3199995,3043125,196678750.6199974,3029707,214514218.46000043,3036226
VT,141398375.4700004,1983828,168354451.45000175,2084989,191439366.61999863,2169088
DC,140850176.3400002,1364322,187216723.67000046,1430975,221026540.05999693,1458931
WY,77053474.55000004,1314847,87608316.21000057,1350207,96446188.64,1375949
AK,58885405.290000394,938513,76572483.04000032,1037461,78327859.05000018,997058
VI,4594557.390000004,111795,9118662.630000034,196928,11450717.529999988,201894
ZZ,2366347.15,43135,2329072.54,32725,2389313.670000001,36417
GU,2169793.959999998,66317,2944202.77,74663,2567261.1199999945,71176
AE,280288.3299999999,6406,481351.6399999999,7543,1297069.0299999993,17697
MP,209320.24,8757,190100.3399999999,5801,217378.80000000002,6303
AP,76079.71999999999,2317,67732.5,1810,81916.72000000003,2521
AS,36616.63,1097,1660.45,218,399.48,39
AA,34832.82,577,9045.2,999,19937.62,1172
XX,15455.769999999999,563,41955.99,1909,669875.8400000001,10289
